id,date_added,description,image_url,tag,title
dcd8cde5-2c33-4521-a870-01c78321b316,2023-06-13T22:20:00.000+00:00,"A comfortable brown chair in moderately used condition. Perfect for sitting and adding warmth to your space.",https://www.carltonfurniture.co.uk/images/products/large/704_2812.jpg,"[""sitting"",""brown"",""furniture""]","Chair"
fae9e4c8-9d21-4f58-8fa4-19e59f5d8e77,2023-05-28T15:30:00.000+00:00,"A stylish blue T-shirt that has been worn a few times. It offers a casual and trendy look.",https://phrase.no/cdn/shop/files/Bamboo-Cotton-T-shirt-Crewneck-Navy-T-shirt-Panos-Emporio_9993064b-4f88-432e-9b26-e9bc000eca4a_700x.jpg?v=1687350570,"[""clothing"",""blue""]","T-shirt"
bc3c7e4f-843e-4cc2-b3da-3db1683a4e5e,2023-06-01T10:45:00.000+00:00,"A genuine leather wallet with moderate signs of use. It is a reliable and classy accessory.",https://www.lommebokbutikken.no/media/catalog/product/cache/2fed7915e5c910859f219e2804eb9227/1/7/1796a-25_05.jpg,"[""accessory"",""leather""]","Wallet"
65214688-d56d-4177-b55e-80e9fe243ded,2023-06-07T19:20:00.000+00:00,"A black backpack that has been lightly used and still in great condition. It offers ample storage space and comfort.",https://barasportswear.com/cdn/shop/products/gym-bag-black-practical-unisex-bara-sportswear_2048x2048.jpg?v=1632399966,"[""accessory"",""black""]","Backpack"
b2a203ab-4a20-4be2-8fe9-22169d823ec2,2023-06-10T14:15:00.000+00:00,"A pair of red sneakers that have been worn occasionally. They provide style and comfort for your feet.",https://media.istockphoto.com/id/691616136/photo/red-sneakers.jpg?s=612x612&w=0&k=20&c=BBMNOxRnNNdaeEZmMooA1Xu9Exq-olwrP9n3B-iaJCU=,"[""shoes"",""red""]","Sneakers"
d0e73f4f-cf7e-4e69-8e74-998e61b171fe,2023-06-12T08:00:00.000+00:00,"A wooden coffee table with a few scratches and signs of use. It adds a rustic charm to your living space.",https://www.ana-white.com/sites/default/files/farmhouse-coffee-table-2.jpg,"[""furniture"",""wooden""]","Coffee Table"
6e8e3b30-4de5-44de-9a9e-b4ad727a3c5a,2023-06-14T16:45:00.000+00:00,"A silver necklace that has been worn occasionally but remains in great condition. It adds an elegant touch to any outfit.",https://i5.walmartimages.ca/images/Large/892/549/6000201892549.jpg,"[""jewelry"",""silver""]","Necklace"
f17572e5-79f7-4140-8973-8d4a950c158e,2023-06-16T12:30:00.000+00:00,"A white ceramic mug that has been used regularly but shows minimal signs of wear. It is perfect for enjoying your favorite beverages.",https://t3.ftcdn.net/jpg/00/48/80/62/360_F_48806269_R7lD4x07iVwu37YT22WaPVYwM52eaYkr.jpg,"[""kitchen"",""white""]","Mug"
d3e84427-efee-4dbf-a8c0-40e4e135b9ce,2023-06-18T09:15:00.000+00:00,"A laptop sleeve that has been moderately used and well-cared for. It offers reliable protection for your valuable device.",https://braa.icdn.no/media/produktbilder/douchebags/ss22/web_image_db_the_vrldsvan_13_laptop_sleeve_yhacw9rlsizgpfv1f3u4761603052_plid_1464832.jpeg?w=1920,"[""accessory"",""electronics""]","Laptop Sleeve"
09f50370-1754-4e92-89eb-1d2a42202f70,2023-06-21T17:00:00.000+00:00,"A pair of blue jeans that have been worn and washed several times. They provide a classic and comfortable fit.",https://media.solidstore.com/images/light-blue-denim-jeans.jpg?i=ADLzcMQq2wg/1058168&mw=610,"[""clothing"",""blue""]","Jeans"
9b71b7af-3e3b-4fdd-a83b-4e286aebf5a3,2023-06-24T13:45:00.000+00:00,"A portable Bluetooth speaker that has been used occasionally and is in excellent working condition. It delivers impressive sound quality.",https://cdn.thewirecutter.com/wp-content/media/2022/11/portablebluetoothspeakers-2048px-3047.jpg,"[""electronics"",""bluetooth""]","Bluetooth Speaker"
a1006f6d-5e15-4c47-89e1-482c8bc49362,2023-06-27T11:30:00.000+00:00,"A black leather jacket that has been worn regularly but remains in great shape. It offers style and durability for any occasion.",https://shangrilaheritage.it/wp-content/uploads/2022/08/shangri-la-heritage-cafe-racer-black-lambskin-women-jacket-still-life-front.jpg,"[""clothing"",""leather"",""black""]","Leather Jacket"
67e8a141-4f1d-4321-b320-49720e3e6114,2023-06-30T19:15:00.000+00:00,"A smartphone stand in moderately used condition. It provides a convenient and stable support for your device.",https://d1aeri3ty3izns.cloudfront.net/media/80/801202/600/preview.jpg,"[""accessory"",""electronics""]","Smartphone Stand"
